"","Household_ID","Disability_in_house","Household_disability_income","Household_SSI_income","Number_of_persons_in_house","Total_household_income"
"28858",44613,2,0,0,4,4200
"28859",44614,2,0,0,1,27010
"28860",44615,2,0,0,2,10000
"28861",44616,2,0,0,2,175806
"28862",44617,2,0,0,2,37410
"28863",44618,2,0,0,2,99742
"28864",44619,2,0,0,1,32142
"28865",44620,2,0,0,3,81020
"28866",44621,2,0,0,4,90456
"28867",44623,2,0,0,3,144027
"28868",44624,2,0,0,7,82188
"28869",44625,2,0,0,2,391015
"28870",44626,2,0,0,1,13415
"28871",44627,2,0,0,1,145002
"28872",44628,2,0,0,2,198124
"28873",44629,2,0,0,3,91295
"28874",44631,2,0,0,2,11425
"28875",44632,2,0,0,4,201382
"28876",44634,2,0,0,1,20007
"28877",44637,2,0,0,2,51000
"28878",44644,2,0,10080,1,10080
"28879",44645,2,0,0,3,191260
"28880",44646,2,0,0,2,42924
"28881",44647,2,0,0,2,98000
"28882",44648,2,0,0,2,36664
"28883",44649,2,0,0,2,35000
"28884",44650,2,0,9252,5,9272
"28885",44651,2,0,0,6,115555
"28886",44655,2,0,0,3,68000
"28887",44656,2,0,0,3,42284
"28888",44657,2,0,0,4,75008
"28889",44658,2,0,0,3,305702
"28890",44659,2,0,0,3,26400
"28891",44661,2,0,0,3,192055
"28892",44662,2,0,0,2,145030
"28893",44663,2,0,0,3,55124
"28894",44664,2,0,0,2,27000
"28895",44665,2,0,0,2,94999
"28896",44666,2,0,0,1,70100
"28897",44667,2,0,0,1,11382
"28898",44669,2,0,0,2,45000
"28899",44670,2,0,0,2,98716
"28900",44672,2,0,0,5,91000
"28901",44673,2,0,0,2,39925
"28902",44676,2,0,0,1,0
"28903",44677,2,0,0,1,35000
"28904",44678,2,0,0,2,20400
"28905",44679,2,0,0,2,53872
"28906",44680,2,0,0,3,195151
"28907",44682,2,0,0,3,136771
"28908",44683,2,0,0,3,90000
"28909",44685,2,0,0,2,290781
"28910",44688,2,0,0,1,40000
"28911",44689,2,0,0,1,60000
"28912",44692,2,0,0,2,92754
"28913",44693,2,0,0,1,129192
"28914",44694,2,0,0,3,31673
"28915",44695,2,0,0,5,177240
"28916",44696,2,0,0,3,208022
"28917",44700,2,0,10440,2,35440
"28918",44701,2,0,0,4,104000
"28919",44702,2,0,0,3,45000
"28920",44703,2,0,0,3,2145060
"28921",44704,1,4000,0,1,67282
"28922",44705,2,0,0,3,50550
"28923",44706,2,0,0,2,14400
"28924",44707,2,0,0,2,181026
"28925",44708,2,0,0,1,26102
"28926",44709,2,0,1500,1,10842
"28927",44710,2,0,0,1,25314
"28928",44712,2,0,0,1,44000
"28929",44714,2,0,0,2,135019
"28930",44715,2,0,0,2,16000
"28931",44716,2,0,0,6,168015
"28932",44717,2,0,0,2,20982
"28933",44722,2,0,0,6,154455
"28934",44787,2,0,11652,3,22722
"28935",44789,2,0,0,5,91061
"28936",44790,2,0,0,1,16002
"28937",44791,2,0,0,1,18000
"28938",44792,2,0,0,4,94602
"28939",44793,2,0,0,1,24602
"28940",44794,2,0,0,4,125607
"28941",44795,2,0,0,2,50964
